PRIORITY,OCR_STATUS,territory_id,District,territory_name,Type,STATUS,Agents,Cycle,Start (actual Start date),End (actual end date),Actual Man-Day,Days planned,Number_of_landmark,Number_of_trending,Number_of_regional,Number_of_iconic,Number_of_brands,total_logs,total_survey_logs,survey_log_new,survey_log_update_exist,survey_log_deleted,total_poi_portal,poi_portal_log_new,poi_portal_log_update_exist,poi_portal_log_deleted,total_trx,trx_draft,trx_ready_to_publish,trx_archived,trx_in_progress,Diffrencess,Area Score,high dansity ?
1,,4604,Al Aqeeq,RUH_Riyadh park mall,Mixed.,Off-Plan,aalosaimi,25-Jan,"December 23, 24","May 5, 25",2.64,1.69,2,0,0,0,116,626,106,15,91,0,520,9,490,21,416,164,192,60,0,15,20.97,YES
1,,4345,King Fahd,King Fahd district_10000002,Mixed.,Off-Plan,aalbwardi,25-Dec,"December 26, 24","February 19, 25",2.11,1.4,0,0,0,0,112,442,22,2,14,6,420,16,396,8,364,173,135,56,0,2,19.96,YES
1,,4346,King Fahd,city Riyadh Dhahrat Laban district_946,Indust.,Closed,abinsaedan,25-Feb,"December 22, 24","February 27, 25",4.39,2,0,0,0,0,107,782,229,194,28,7,553,19,506,28,475,125,296,54,0,194,19.21,YES
1,,4600,Qurtubah,RUH_Park Avenue mall,Indust.,Off-Plan,,,"Jan 17, 25","Feb 26, 25",0.79,0.53,1,1,0,0,57,313,5,0,4,1,308,24,274,10,152,39,94,19,0,-107,10.43,0
1,,4593,Al Olaya,RUH_Kingdom Center,Com,Off-Plan,fabdelrahman,25-Apr,"December 27, 24","April 20, 25",1.79,1.2,2,0,0,0,55,292,12,0,9,3,280,13,248,19,308,175,78,55,0,0,10.02,0
1,,5655,Al Nafel,RUH_Tala mall,Com,Closed,abinsaedan,,"December 18, 24","January 27, 25",0.93,0.48,0,0,0,0,53,398,75,30,39,6,323,7,306,10,127,20,82,25,0,30,9.62,YES
1,,4571,Al Olaya,RUH_Al Faisaliya MODE mall,Com,Off-Plan,fabdelrahman,25-Apr,"April 17, 25","April 17, 25",0.56,0.38,1,0,0,0,34,201,7,0,7,0,194,15,173,6,97,24,59,14,0,0,6.32,0
1,,3174,Al Olaya,Al Olaya district_10000294,Mixed.,Off-Plan,fabdelrahman,25-Apr,"December 26, 24","April 17, 25",4.28,2.09,0,0,0,0,35,1017,592,161,213,218,425,30,374,21,672,26,350,296,0,161,6.3,YES
1,,4177,Hiteen,Boulevard Riyadh City,Mixed.,Off-Plan,,25-Jan,"January 7, 25","January 7, 25",1.74,1.16,3,0,0,0,31,246,14,0,12,2,232,7,189,36,316,177,72,67,0,0,5.59,0
1,,5635,Ar Rabie,RUH_Aliya Plaza mall,Com,Closed,aalosaimi,25-Dec,"December 8, 24","February 28, 25",0.73,0.37,0,0,0,0,28,261,48,24,19,5,213,0,210,3,89,33,43,13,0,24,5.12,YES
1,,3879,Al Yasmeen,Al Yasmeen district_10000436,Mixed.,Closed,,25-Dec,"November5, 24","January 6, 25",1.09,0.54,0,1,0,0,26,398,96,38,39,19,302,2,295,5,142,27,88,27,0,38,4.73,YES
1,,4283,Hiteen,city Riyadh Hiteen district_1536,Mixed.,Closed,surveyor4,25-Jan,"December 31, 24","May 6, 25",1.06,0.69,1,7,0,0,23,264,31,4,24,3,233,4,214,15,194,82,58,54,0,4,4.71,YES
1,,3131,Al Olaya,Al Olaya district_10000272,Com,Closed,aalngedan,,"December 24, 24","May 15, 25",1.9,1.27,0,9,0,0,20,338,42,0,41,1,296,34,231,31,314,170,88,56,0,0,4.43,YES
1,,4348,King Fahd,King Fahd district_10000004,Mixed.,Closed,abinsaedan,25-Feb,"January 10, 25","February 26, 25",0.64,0.41,1,0,0,0,24,117,9,4,5,0,108,3,98,7,97,53,31,13,0,4,4.19,0
1,,5103,Ar Rabie,Ar Rabie district_10000305,Mixed.,Off-Plan,ashuban,25-Mar,"December 2, 24","May 3, 25",1.97,0.97,0,1,0,0,22,929,425,72,254,99,504,1,502,1,297,14,161,122,0,72,4.06,YES
1,,3484,Al Sulaimaniyah,Al Sulaimaniyah district_10000333,Com,Closed,surveyor10,25-Feb,"February 2, 25","February 3, 25",0.59,0.35,0,0,0,0,22,182,17,9,8,0,165,2,151,12,92,25,46,21,0,9,4.04,0
1,,6695,Al Narjis,Al Narjas district_101,Resid.,Closed,surveyor1,25-Jan,"December 17, 24","January 9, 25",0.36,0.22,0,0,0,0,22,197,35,3,25,7,162,3,151,8,67,1,47,19,0,3,3.91,0
1,,4542,Al Malqa,RUH_06,Com,Off-Plan,fabdelrahman,25-Apr,"December 30, 24","April 7, 25",1.7,0.8,0,0,0,0,21,521,220,70,106,44,301,64,221,16,262,9,186,67,0,70,3.91,YES
1,,4575,Al Malqa,RUH_Almakan mall,Com,Closed,aalsahafi,,,,0.33,0.22,0,0,0,0,21,107,0,0,0,0,107,2,88,17,62,21,23,18,0,0,3.86,YES
1,,2650,Al Malqa,Al Malqa district_10000008,Com,Off-Plan,ashuban,25-Apr,"January 2, 25","April 3, 25",1.33,0.5,0,1,0,0,20,398,181,81,60,40,217,20,186,11,208,8,141,59,0,81,3.83,YES
1,,3058,Al Olaya,Al Olaya district_10000238,Mixed.,Closed,aalngedan,,,,1.21,0.81,0,0,0,0,22,199,0,0,0,0,199,5,176,18,204,115,53,36,0,0,3.76,YES
1,,4536,Qurtubah,Qurtubah district_350,Resid.,Closed,surveyor13,25-Mar,"March 9, 25","March 10, 25",0.39,0.22,0,0,0,0,21,146,13,8,2,3,133,2,124,7,68,14,36,18,0,8,3.73,0
1,,4440,Qurtubah,Qurtubah district_295,Resid.,Closed,surveyor3,25-Mar,"January 29, 25","March 11, 25",0.72,0.33,0,0,0,0,21,278,117,31,46,40,161,1,157,3,148,2,80,66,0,31,3.73,YES
1,,3274,Al Rawdah,Al Rawdah district_74,Resid.,Off-Plan,ashuban,25-Jun,"Jun 3, 25","Jun 3, 25",0.44,0.3,0,0,0,0,21,136,22,19,0,3,114,4,106,4,74,32,31,11,0,0,3.71,0
1,,6757,Al Narjis,Al Narjas district_37,Mixed.,Closed,aalbwardi,25-Dec,"December 17, 24","December 22, 24",0.64,0.32,0,0,0,0,20,269,64,21,33,10,205,0,203,2,90,8,60,22,0,21,3.55,YES
1,,4086,Al Nakheel,Al-Nakheel_10000100,Resid.,Closed,salsiqami,25-Jan,"January 7, 25","January 21, 25",0.39,0.23,0,0,0,0,20,160,29,7,15,7,131,0,127,4,75,12,36,27,0,7,3.55,0
1,,3148,Al Olaya,Al Olaya district_10000280,Com,Closed,aalngedan,,"January 6, 25","May 8, 25",1.22,0.81,0,5,0,0,17,161,4,0,4,0,157,2,143,12,205,125,39,41,0,0,3.49,YES
1,,3105,Al Olaya,Al Olaya district_10000259,Com,Closed,,,"December 26, 24","May 11, 25",3.19,2.13,2,7,0,0,15,272,14,0,14,0,258,4,216,38,514,356,65,93,0,0,3.47,YES
1,,5129,Ar Rahmaniyah,Ar Rahmaniyah district_10000194,Mixed.,Closed,,25-Dec,"December 30, 24","May 11, 25",0.61,0.37,1,0,0,0,19,229,43,8,34,1,186,0,178,8,97,30,46,21,0,8,3.44,0
1,,4929,Al Nuzha,Al Nuzha district_1,Mixed.,Off-Plan,ashuban,25-Apr,"April 20, 25","April 21, 25",0.94,0.43,0,0,0,0,19,244,119,41,45,33,125,3,114,8,164,8,91,65,0,41,3.42,YES
1,,3711,Al Yasmeen,Al Yasmeen district_10000137,Mixed.,Off-Plan,ashuban,25-Mar,"October 13, 24","March 19, 25",1.67,0.61,0,0,0,0,19,626,260,106,99,55,366,1,350,15,176,7,107,62,0,106,3.42,YES
